Año,Cantidad de estudios
1984,0
1985,0
1986,0
1987,1
1988,3
1989,5
1990,0
1991,0
1992,0
1993,0
1994,0
1995,1
1996,5
1997,2
1998,2
1999,1
2000,2
2001,2
2002,0
2003,2
2004,2
2005,1
2006,4
2007,3
2008,4
2009,4
2010,4
2011,6
2012,5
2013,5
2014,7
2015,13
2016,10
2017,9
2018,7
2019,13
2020,7
2021,5
2022,6
2023,0
